MarketTrendID,ProductGroupID,TrendDescription,StartDate,EndDate,GrowthRate,Region,CompetitorAnalysis,CustomerSentiment,DemandForecast,TrendScore,CreatedBy
be34516a-deb9-4b9e-930c-ed784a6e2d84,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Option ready trouble western car.,2024-02-14,2024-04-05,-0.98,Sao Tome and Principe,Can election morning reflect school couple.,Negative,High,57,Thomas Gordon
6481f63a-30c8-4fd6-be93-5211a72ea978,e916dafb-0783-4fb4-957e-a6a7e13edb23,Animal pass find man fast.,2024-06-03,2024-06-11,-9.05,Guinea,A campaign source professor.,Neutral,High,16,Derrick Reynolds
ebfd24be-1bfd-4816-a3a1-4dcaaa091d31,40386061-0a22-499c-978b-e40fca539092,Also watch wife run behavior recently court.,2024-06-28,2024-06-03,0.84,Lithuania,Effort station by.,Negative,Medium,27,Larry Molina
b4ff38c1-3cb1-475a-9dc4-cff86c424c0b,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Number wife as from south.,2024-03-26,2024-07-03,15.32,Isle of Man,From run manager cell away mind.,Positive,Medium,83,Melissa Moss
b9ed15f0-b11e-47e2-a80f-c7d155d9bac5,76c65980-f08a-4568-b6ab-972025bcf196,Executive in movement may poor do.,2024-03-04,2024-02-22,7.66,Dominica,Believe expect election night.,Neutral,High,55,Diane Austin
bedee2c4-61a6-4ed3-85d5-1cff5e26f02a,9fe23eab-a333-4b43-a913-577d077cc216,Single at right together coach production.,2024-07-06,2024-03-26,10.62,Colombia,Institution others home job bar exist.,Negative,High,37,Joanna Higgins
e8b07cfd-538b-4c96-bc25-ecc5144f9442,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Least watch whether operation necessary.,2024-04-08,2024-03-07,7.96,Lebanon,Stand bill report.,Neutral,Low,98,Michael Crawford
af37d9f9-be8f-4b6b-9739-559f23a66176,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Prevent point glass picture run quite since.,2024-04-17,2024-03-27,20.82,Saint Vincent and the Grenadines,Send state former.,Negative,Medium,45,Carla Edwards
bae67a9d-cab1-4bbd-869c-6d568565aab3,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Movement law son ball call chair unit investment.,2024-06-30,2024-01-20,17.14,Switzerland,Foreign indeed within example research professional sometimes.,Positive,High,60,Michelle Vega
2363a188-5e04-4708-bd45-420b1f2d200c,2eb83a97-eea8-4111-8928-417d71c55d2d,Case talk provide risk expert key many.,2024-01-06,2024-07-10,12.49,British Virgin Islands,Community any eat also.,Neutral,Medium,80,Craig Mason
1e131fb6-b1a2-49f6-8fb6-412e5ecab11e,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Within middle name debate same.,2024-02-24,2024-02-01,13.65,Pakistan,Turn it draw find.,Positive,High,59,William Gillespie
7eb00826-b7eb-43f0-a7a0-a12ce8f93d34,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Manager pass arm couple building animal change fund.,2024-01-12,2024-03-22,18.65,Faroe Islands,Where change brother spend.,Positive,High,50,Adam Donaldson
e530a83f-ba36-43e3-b7cb-0a91c475ebd5,76c65980-f08a-4568-b6ab-972025bcf196,Event state job them.,2024-05-01,2024-02-25,1.61,Holy See (Vatican City State),Whether middle decade player.,Positive,High,63,Sean Rhodes
ed9eaaf6-d4b1-4fc6-8141-7f0aaa27e8d9,f52b037c-6409-4bd2-969e-a0cb44b2886b,Central explain say arrive street.,2024-03-08,2024-05-28,21.22,Qatar,Father despite child thing radio.,Neutral,Medium,2,Ryan Davis
a38d7348-d081-432b-a0af-8de7a74852d4,069354c7-29a4-4657-9862-218627619c15,When then play have.,2024-04-03,2024-02-17,9.85,Bhutan,Let change issue run nice stock success.,Positive,Medium,17,Kurt Lopez
21c7b314-a76a-45e4-bf28-5a7f7f06ed20,50675f88-c045-4ca6-882b-29c017ea798e,Name list lay upon hard hundred.,2024-03-14,2024-02-26,15.17,Indonesia,Down final add investment necessary.,Negative,Low,71,Gordon Williams
54d06144-079a-400a-a85f-3bbf14e567d1,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,People country different prepare wait.,2024-07-27,2024-01-07,11.47,Sierra Leone,Travel catch huge research.,Positive,High,55,John Owen
b956f682-770b-4fd4-8aad-f90a43e9b3d5,9fe23eab-a333-4b43-a913-577d077cc216,Minute question few old.,2024-03-13,2024-04-09,9.06,Dominica,Would natural laugh.,Negative,Low,44,Antonio Day
c028b857-267c-4244-854a-b00006e98076,9fe23eab-a333-4b43-a913-577d077cc216,Behind may matter hope evening herself.,2024-08-07,2024-01-04,-3.08,Lithuania,Product yet television ten.,Neutral,Medium,58,Scott Savage
2ee2e768-7278-43cc-b54a-01bd22498e50,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Care method wide scene upon wonder art station.,2024-07-02,2024-04-23,14.55,Cyprus,Late collection own mother.,Positive,High,12,Robert Blair
0d060162-2f4f-453d-a6e3-a39313be192f,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Manager course avoid.,2024-03-10,2024-03-26,3.26,United States Virgin Islands,Possible chance manage position water Democrat.,Neutral,Medium,83,Andrea Foster
fb72513d-b7b3-4d02-97e9-62a534224e1f,3b980e87-bb4a-4d27-95c1-e8f07e5752cc,Oil college low fact nature brother on.,2024-01-10,2024-03-17,-0.09,Netherlands,Weight conference service social protect style.,Neutral,Low,1,Michelle Flores
df63a278-40bb-4f57-8dea-24e631517add,f52b037c-6409-4bd2-969e-a0cb44b2886b,Republican price game quite own key newspaper.,2024-06-18,2024-01-13,12.23,Grenada,Product behind suffer to remain thank.,Negative,Medium,20,Christina Davidson
9ff97ce7-2cae-4729-a3cc-bc0182a92fb9,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,There treatment feeling none name situation west.,2024-04-21,2024-05-10,13.61,Belgium,Carry investment mean wife attack memory staff.,Neutral,Medium,92,Randy Clark
a4dd0541-0e4b-4b4c-8c43-38b14c1e0839,e916dafb-0783-4fb4-957e-a6a7e13edb23,Bar so provide old clearly administration style.,2024-03-13,2024-04-23,15.26,Colombia,Of part American conference travel.,Neutral,Medium,71,Seth Vazquez
7427c5ba-5ed9-440e-a6e4-f6af5bed8999,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Computer politics nothing military fall certain prove.,2024-02-15,2024-03-09,0.64,Eritrea,Sea PM us fill.,Negative,Low,99,James Gross
b1967c36-18c3-45d1-b59d-fb9960bccc37,7647c201-34e4-4279-b121-de6c851d13fb,Across could positive organization each do consumer bed.,2024-03-07,2024-02-02,2.13,Bhutan,Represent who nice vote.,Neutral,Medium,57,William Kelley
99ed0ff9-bf88-44ca-9fe3-01f3b61eb6cc,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Bank soon risk my.,2024-06-13,2024-05-30,-7.7,Denmark,And support that ahead suffer process radio.,Positive,Medium,30,Mary Wilson
f7576b93-5c8c-40ea-bb6d-fb6a6cd41e2a,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,Certain country mother positive.,2024-07-08,2024-02-15,-9.16,Sudan,Current each certainly season region.,Neutral,High,24,Robert Gamble
b19ce6fb-dc71-49d2-a9fd-3678111a5d8a,186db6f5-0f28-44da-b9ed-3f683fc30f9d,Doctor life prove movement.,2024-04-29,2024-06-27,20.7,Guinea-Bissau,Society cold economy positive.,Positive,High,78,Eric Perez
ff0b318b-82a2-493c-9c96-654dbe778cda,77a095b0-ef54-4826-b3bb-b9e9ae20ef26,Conference around commercial price.,2024-02-19,2024-02-18,-1.99,Greenland,Join base court network manage let.,Positive,High,84,Melanie Johnson
27614e3f-f0d4-439c-a520-f04f0f2e1b01,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Ground everything develop role base down.,2024-05-29,2024-06-23,24.57,British Virgin Islands,Our view herself option.,Negative,Medium,87,Robert Garza
fd6f9893-6920-4c6c-8bee-9ba420885976,f52b037c-6409-4bd2-969e-a0cb44b2886b,Myself itself man off series throughout remember little.,2024-01-22,2024-02-07,-3.72,Puerto Rico,First collection whether issue story choice however tax.,Neutral,Medium,40,Joseph Benitez
d28752e1-a135-4e06-9f47-948f32378ad0,5fd7d292-c992-450c-b6fc-c17eeedcd32f,Bad important second computer.,2024-03-06,2024-05-08,-8.67,Falkland Islands (Malvinas),Item explain should morning none instead.,Neutral,High,14,Cassandra Randall
9ab1757e-3a6d-4e21-8684-2a62b0b3ac41,40386061-0a22-499c-978b-e40fca539092,Fall public in decade explain security.,2024-07-01,2024-03-13,6.58,Nicaragua,Medical ball too particularly represent.,Negative,Medium,94,Michael Murphy
62b4bcb8-633d-4653-985e-1f9508ad57fe,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Us strategy recent.,2024-06-01,2024-06-04,0.56,Cyprus,Republican he indeed few hand hear.,Positive,Low,35,Angela Charles
36ce065f-8b85-4d11-9a89-0bdf23dcd6d5,2eb83a97-eea8-4111-8928-417d71c55d2d,Mission way here year toward design certain clearly.,2024-02-12,2024-07-09,16.6,Reunion,Could consumer help area piece.,Positive,High,98,Anne Chandler
b862d528-7a57-4b0b-8785-6d15d8c77f97,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Office spring wear let throw election line.,2024-07-16,2024-04-14,-2.31,Mali,Goal task mention author risk.,Neutral,Low,40,Jessica Watson
ecb5a8a2-0924-4f81-ac38-3b10ce3148c6,5fd7d292-c992-450c-b6fc-c17eeedcd32f,Dinner at hold white spend story the.,2024-04-25,2024-03-09,22.46,Slovakia (Slovak Republic),Produce almost chance recent.,Neutral,High,55,Andrew Bradley
a6b625ed-b4d4-400c-9668-2996cae8f893,77a095b0-ef54-4826-b3bb-b9e9ae20ef26,Class class at former wife wrong.,2024-08-06,2024-05-12,-8.51,Malaysia,Central stage Congress soldier.,Positive,Medium,1,Emily Jimenez
7357e4a6-c32f-4db1-9c73-4528e968290c,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Type off exist paper as enter camera.,2024-07-31,2024-01-01,0.81,Eritrea,Lose organization foreign pass.,Positive,High,80,Robert Hunter
ebb31f0d-6b9b-4f20-8ea6-f6fc836922bc,77a095b0-ef54-4826-b3bb-b9e9ae20ef26,Every feel huge miss hospital.,2024-02-01,2024-03-06,-4.55,Egypt,Choice mind discussion I investment.,Negative,High,61,Matthew Carter
c545d670-841b-4f92-b221-5aab3f18a8d8,50675f88-c045-4ca6-882b-29c017ea798e,Agreement special hotel develop.,2024-05-11,2024-08-08,10.49,British Indian Ocean Territory (Chagos Archipelago),Hand gun trip one.,Positive,Low,72,David Porter
41d77bd9-728f-4b9e-abba-59b1803bdd80,89640938-59ba-458a-b0fa-0c0a0054f86a,Into arm relate.,2024-07-14,2024-01-24,17.85,Sao Tome and Principe,Put entire PM able partner across.,Positive,Low,9,Jesus Brown
d4e009a4-56a8-4773-85ed-c497030fdd25,76c65980-f08a-4568-b6ab-972025bcf196,Wide their south between interest program.,2024-03-30,2024-02-26,17.2,Moldova,White play affect significant entire away.,Positive,High,13,Derrick Martin
5c99b702-2c40-43ee-8263-6ccdd0ff414e,186db6f5-0f28-44da-b9ed-3f683fc30f9d,Back each decide.,2024-06-21,2024-01-09,5.15,Antarctica (the territory South of 60 deg S),Enjoy than occur occur travel beyond.,Positive,Medium,92,Daniel Reyes
d735e586-c700-472d-9b69-3d07879ad912,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Involve well interest.,2024-07-16,2024-07-14,24.55,Netherlands,Significant approach discover picture defense admit book wonder.,Negative,High,70,Luke Sanchez
9a369f0b-4b82-4c98-bce4-6a757b038ce6,40386061-0a22-499c-978b-e40fca539092,Happen study word public grow activity agreement.,2024-04-14,2024-04-19,-5.16,Jordan,Pretty knowledge human feel they against song.,Neutral,Low,55,Christopher Rogers
fa1269d5-f3bf-4a33-8100-dcea061caa58,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Land rate consider research majority type.,2024-05-14,2024-04-24,-5.45,Colombia,Offer lot travel that set.,Negative,Low,5,Christopher Patel
8cbb9996-d6d1-4490-95e0-1a4f82eb5a47,5fd7d292-c992-450c-b6fc-c17eeedcd32f,Line page car image under miss Mr.,2024-04-08,2024-07-20,-1.32,Macedonia,Claim foreign risk key positive through.,Negative,Medium,48,Jackie Poole MD
b28f7336-7971-4c31-9026-ec33ecaf4e80,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Young collection reduce industry.,2024-06-14,2024-02-13,22.02,Jamaica,Continue baby foot information chair difficult.,Negative,Low,74,Christina Tanner
5c4e6305-f45b-4886-86e1-0230113f266f,5fd7d292-c992-450c-b6fc-c17eeedcd32f,Fish majority help pull think.,2024-07-08,2024-06-17,3.73,Brunei Darussalam,Two enter will quickly near discuss pressure.,Neutral,High,73,James Proctor
fada6ea0-a0bb-44fc-8c2f-61f3497691f6,50675f88-c045-4ca6-882b-29c017ea798e,Daughter fill product station.,2024-02-29,2024-03-04,-4.66,Norfolk Island,Clear born trial.,Neutral,Medium,95,Christopher Miller
7ac4c013-bb2f-4728-890a-f02bc3bbb70e,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Daughter idea heart camera might here control.,2024-07-08,2024-06-18,22.98,Iceland,Economy important much.,Negative,Medium,3,Mr. Scott Romero
e5a2a656-3b54-4ca8-9869-9ea1dd957115,9fe23eab-a333-4b43-a913-577d077cc216,Join interest few catch movie.,2024-05-29,2024-01-12,-9.96,Finland,Along sure edge arrive table similar bed.,Neutral,Low,88,Holly Ponce
203bc01e-89a6-446d-9df6-687dac6e708d,069354c7-29a4-4657-9862-218627619c15,Response citizen detail quickly involve year already.,2024-07-20,2024-04-30,12.84,Bahrain,Organization cost fire else feel.,Positive,High,15,Patrick Schmidt
8a9b0f2b-96d6-4241-a8d8-f31d780f5a7d,186db6f5-0f28-44da-b9ed-3f683fc30f9d,Opportunity mouth present.,2024-06-30,2024-02-07,15.71,Trinidad and Tobago,Since any cause computer throughout able how.,Negative,High,36,Teresa Cardenas
4c059f38-72d8-4eb5-af10-a6c477c5f9ec,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Account short space morning movement stay skill.,2024-02-24,2024-07-04,18.61,Bahamas,Democrat here ever would reveal all leg west.,Positive,High,85,Kelly Bell
753099ea-1d2f-4844-8fcb-11595c831928,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Some forward suggest happen.,2024-06-03,2024-06-10,18.46,Turkmenistan,Area threat image arm.,Neutral,High,81,Leah Schneider
d16d9ded-c853-4592-a981-38e49d3ba17e,40386061-0a22-499c-978b-e40fca539092,Play later stop bill southern will speak.,2024-03-27,2024-01-05,7.56,Holy See (Vatican City State),Billion region happen.,Neutral,High,81,Veronica Williams
a9794dfb-7754-4bcd-bab1-f7955c470658,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Traditional suggest event organization top through technology.,2024-02-08,2024-02-06,1.23,Vietnam,Two technology get boy.,Negative,High,80,Matthew Jones
55a10131-97a5-49b4-ae5d-f1d824789f19,3b980e87-bb4a-4d27-95c1-e8f07e5752cc,Will rate travel soldier strong.,2024-02-29,2024-06-09,2.34,Denmark,Compare might field meet all.,Neutral,High,36,Jeffrey Mclean
15d35987-5939-4130-9f4f-e4060335251a,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,City bar center these total.,2024-08-04,2024-06-21,9.51,Finland,Eye after beat entire think explain out.,Positive,Low,43,Traci Welch
20b8ba22-5733-425d-86f6-13bfcc7d89be,3b980e87-bb4a-4d27-95c1-e8f07e5752cc,Experience get from land population fly.,2024-04-12,2024-05-07,3.79,Philippines,Piece value education student line what.,Neutral,Low,35,Lisa Juarez
0751d62b-b07f-4ef2-a2ee-d0f88f57a1ee,7647c201-34e4-4279-b121-de6c851d13fb,Information black rule together take yes.,2024-05-01,2024-03-30,22.19,Cuba,No such believe middle in happen health learn.,Positive,Low,35,Isabella Perry
87a96957-7158-4adf-ab49-9967e3e895fa,50675f88-c045-4ca6-882b-29c017ea798e,Matter design prevent.,2024-07-17,2024-02-21,24.85,Wallis and Futuna,Hotel check push fight case change.,Negative,Medium,1,Jennifer Moses
9b476362-c05e-46bf-823d-7e2c19606dfb,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Modern stop blood listen poor draw century.,2024-01-17,2024-05-24,-2.06,Holy See (Vatican City State),Scene study window activity born.,Negative,High,33,Anthony Crane
c4ed7ef1-5e1d-40ae-907c-07f2490820e9,4db3f4af-b967-4d74-bdad-43240bd3ebcd,I write up nice certainly.,2024-06-07,2024-01-15,22.43,Somalia,Defense live center friend job rather politics.,Negative,Low,15,Frederick Baldwin
42e56658-ed18-436b-90f4-836127bc655d,7647c201-34e4-4279-b121-de6c851d13fb,Would unit nearly miss door commercial how.,2024-01-19,2024-08-07,7.41,Iraq,Leg quite improve kitchen hit.,Negative,Low,76,Nathan Smith
d84a4dfa-4e94-4983-84dd-4066c1789d68,50675f88-c045-4ca6-882b-29c017ea798e,Can these bad sister science.,2024-05-18,2024-01-28,4.28,Saint Lucia,Bad continue certain.,Negative,Low,6,Michael Nguyen
58b33452-665b-4b1c-91ee-88ed521493de,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Republican value effect pick mean born.,2024-02-18,2024-06-01,-9.82,Egypt,Might evidence into represent now.,Negative,High,43,Jessica Donovan
b0fe7b90-c990-4bfa-98d9-c10d205f3910,7647c201-34e4-4279-b121-de6c851d13fb,Half watch exactly standard.,2024-02-09,2024-03-27,21.14,Andorra,Consider occur common group example.,Positive,Low,71,Ryan Blair
6aa5364e-aeb2-43e4-9d5d-f3240768bc8d,069354c7-29a4-4657-9862-218627619c15,Yes security add service activity travel will.,2024-01-11,2024-05-18,22.02,Palestinian Territory,Accept number brother necessary.,Positive,Low,70,Joseph Erickson
b48dc4d4-0b90-4fd4-abed-a9944cef3fb6,069354c7-29a4-4657-9862-218627619c15,Those similar training politics ahead.,2024-07-09,2024-07-02,5.89,Azerbaijan,Thing west growth.,Negative,Low,58,Peter Thompson
e076b943-10d2-4858-9eed-2181df92eb4f,e916dafb-0783-4fb4-957e-a6a7e13edb23,Military manage company much both.,2024-06-18,2024-02-25,11.67,Angola,Young current education find listen scene executive stage.,Neutral,Medium,47,Adam Hubbard
ffbbc977-5212-46ab-902c-05b3bf7f83cb,40386061-0a22-499c-978b-e40fca539092,Do arrive price behavior people management from.,2024-08-10,2024-06-28,17.0,Holy See (Vatican City State),Deal among place decide short project.,Positive,Medium,47,Julie Rivera
99050d11-b03a-46a9-8f75-31f2c993f1a2,7647c201-34e4-4279-b121-de6c851d13fb,Seek charge friend throughout.,2024-05-16,2024-06-15,6.8,Saudi Arabia,Play system he friend action your.,Positive,Low,88,Sharon Hunt
7dc34673-c926-4c63-82bb-fa12cf3c76e3,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,Pm source clear dog fast remain wrong.,2024-01-05,2024-07-02,16.75,Kyrgyz Republic,White enjoy join goal test.,Positive,Low,25,Dennis Aguirre
96facf7d-d41b-4900-a8c9-6cf4a39dd74a,76c65980-f08a-4568-b6ab-972025bcf196,Support peace glass Mr my night this none.,2024-01-27,2024-07-01,16.19,Saint Pierre and Miquelon,Unit find close weight.,Neutral,Medium,21,George Barrera
c5575548-2e92-4355-9f62-407cb51302b8,89640938-59ba-458a-b0fa-0c0a0054f86a,Side course or charge trouble.,2024-01-02,2024-01-28,13.76,Poland,Bank condition reduce energy animal still by can.,Neutral,Medium,95,Valerie Hardy
8e158b1f-0223-490a-8882-f915c53e7b34,069354c7-29a4-4657-9862-218627619c15,Election wonder low public president.,2024-03-19,2024-02-02,-1.16,Timor-Leste,Boy her environmental nation important decide notice.,Negative,High,73,Lauren Lynch
4e7eec53-803d-4e15-bf9e-a9ee7ec65889,9fe23eab-a333-4b43-a913-577d077cc216,Night positive young how industry.,2024-02-04,2024-05-22,0.53,Malta,Speak agency class campaign.,Negative,High,13,Angela Marquez
33fb5a9a-b979-4c3e-9d5d-5cef2b7ae952,89640938-59ba-458a-b0fa-0c0a0054f86a,Those rise this network on shoulder.,2024-02-06,2024-05-31,-1.24,Monaco,Oil forget heart truth nothing feeling adult.,Neutral,Medium,67,Albert Baker
3c3b2d6d-2a0c-4b6f-8843-b4e22b7871d6,f52b037c-6409-4bd2-969e-a0cb44b2886b,Until buy seven west beyond toward plant.,2024-07-10,2024-03-31,1.22,Albania,Early game different forward human customer mission.,Negative,Medium,63,Lisa Richards
48a95dcf-06ad-49a0-b479-32194da1e7ac,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Law cell contain bring matter lay.,2024-05-03,2024-06-21,-5.8,Equatorial Guinea,Different include forward.,Negative,Medium,33,Sandra Mcdonald
eff5ef81-e326-47ce-a30a-8622bb225d99,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Drug itself prove enjoy someone him source.,2024-05-08,2024-03-15,15.26,San Marino,Reveal walk letter amount.,Neutral,Low,66,Randy Mccall
c3a7a160-148f-435e-8c0c-a7b910d58c90,9fe23eab-a333-4b43-a913-577d077cc216,Indeed top west increase little.,2024-08-09,2024-06-16,7.5,Turkmenistan,Century cost room blue media network around animal.,Negative,Low,65,Denise Manning
3203bd60-7aa4-42e2-a048-c2fa9cd75750,069354c7-29a4-4657-9862-218627619c15,Affect pull thing consider region find phone itself.,2024-04-11,2024-01-03,4.77,France,Week clearly leave although nearly.,Negative,Low,98,Douglas Johnson MD
0996ef16-355c-4a35-9482-5b90d42b06dd,f52b037c-6409-4bd2-969e-a0cb44b2886b,Page popular continue day source court relationship.,2024-02-19,2024-04-30,15.28,Malawi,Imagine community value store suddenly major who federal.,Positive,Medium,72,Danielle Tanner
248c5036-717f-4b2b-962f-ab8c614c3e8c,50675f88-c045-4ca6-882b-29c017ea798e,Mention quite concern miss home painting rock.,2024-05-12,2024-05-21,23.32,Niger,National talk gun thing growth hair follow.,Neutral,Low,4,Paige Elliott
eb833234-8b78-47bb-9133-df005f8a335d,9fe23eab-a333-4b43-a913-577d077cc216,A require suffer agency nor remain threat him.,2024-06-02,2024-04-04,7.25,Morocco,Produce again leg field activity sing.,Neutral,Low,45,Kenneth Mckinney
db4a3e4d-5bdc-404a-bd75-26f05724eb7e,5fd7d292-c992-450c-b6fc-c17eeedcd32f,Hundred pressure mission.,2024-05-18,2024-01-02,6.51,Vietnam,Sport former bag news especially bad no agree.,Neutral,Low,96,Kristina Hall
bd64793f-82c1-4803-8149-40113ec239e6,186db6f5-0f28-44da-b9ed-3f683fc30f9d,Move add standard south include mission.,2024-03-22,2024-04-28,10.24,Andorra,Choose great tree deal front.,Negative,High,78,Michael Hebert
c5c49185-a43e-439a-a7e4-19e4319f1b31,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Arm stuff director beyond situation cell edge three.,2024-08-02,2024-05-19,-2.64,Serbia,Box letter school.,Neutral,High,29,Megan Williams
e11d6bca-f5b3-459e-90e9-ab79bd211449,40386061-0a22-499c-978b-e40fca539092,Language at take side.,2024-02-22,2024-03-10,-4.21,Chile,Its southern rest pretty deal whom.,Negative,Medium,81,Jason Clark
afcaa7cf-24ac-4e25-93c8-1dd480855cad,89640938-59ba-458a-b0fa-0c0a0054f86a,Until study share.,2024-01-11,2024-05-17,24.41,Tanzania,Truth could force subject enter challenge once.,Neutral,Medium,57,Christina Williams
3cd1d454-95c0-4909-ae59-8971e66e6e61,89640938-59ba-458a-b0fa-0c0a0054f86a,Staff none throughout on bar.,2024-06-08,2024-07-28,7.11,Luxembourg,Option rich reflect onto of walk.,Neutral,Medium,44,Patricia Moore
4a9fb452-cafb-4b80-8e34-e3b84d76084f,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,South more interesting what unit visit.,2024-02-16,2024-06-21,15.32,Guinea,Scene natural television field point region rise.,Positive,High,47,Jennifer Russell
44f3378f-003c-48fb-9cad-f97d621f43a9,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Score share push kid write box.,2024-05-29,2024-03-19,-0.77,Congo,Recognize accept purpose head medical usually.,Negative,Low,77,Chase Mann
b5d10b83-ab30-4e15-93bd-8e225609a210,40386061-0a22-499c-978b-e40fca539092,Here under machine could suddenly take thank.,2024-06-08,2024-04-16,0.74,Armenia,Treat station suffer book.,Positive,Low,18,Vanessa Armstrong
